Common Course Title,Common Course Prefix,Common Course Number,Abilene Christian University,Alvin Community College,Amarillo College,Angelina College,Angelo State University,Austin Community College,Baylor University,Blinn College,Brazosport College,Central Texas College,Cisco College,Clarendon College,Coastal Bend College,College of the Mainland,Collin County Community College District,Dallas Baptist University,Dallas County Community College District,DCCCD Brookhaven College,DCCCD Cedar Valley College,DCCCD Eastfield College,DCCCD El Centro College,DCCCD Mountain View College,DCCCD North Lake College,DCCCD Richland College,Del Mar College,East Texas Baptist University,El Paso Community College District,Frank Phillips College,Galveston College,Grayson College,Hardin-Simmons University,Hill College,Houston Baptist University,Houston Community College System,Howard College,Howard Payne University,Huston-Tillotson University,Jacksonville College,Kilgore College,Lamar Institute of Technology-Beaumont,Lamar State College- Port Arthur,Lamar State College-Orange,Lamar University,Laredo Community College,Lee College,LeTourneau University,Lon Morris College (Closed in 2012),Lone Star College System,Lone Star College System-CyFair,Lone Star College System-Kingwood,Lone Star College System-Montgomery,Lone Star College System-North Harris,Lone Star College System-Tomball,McLennan Community College,McMurry University,Midland College,Midwestern State University,Navarro College,North Central Texas College,Northeast Lakeview College,Northeast Texas Community College,Northwest Vista College,Odessa College,Our Lady of the Lake University,Palo Alto College,Panola College,Paris Junior College,Prairie View A&M University,Ranger College,Sam Houston State University,San Antonio College,San Jacinto College Central,San Jacinto College District,San Jacinto College North,San Jacinto College South,South Plains College,South Texas College,Southern Methodist University,Southwest Collegiate Institute for the Deaf,Southwest Texas Junior College,Southwestern University,St. Mary's University,St. Philip's College,Stephen F. Austin State University,Sul Ross State University,Tarleton State University,Tarrant County College District,Temple College,Texarkana College,Texas A&M International University,Texas A&M University,Texas A&M University-Commerce,Texas A&M University-Corpus Christi,Texas A&M University-Galveston,Texas A&M University-Kingsville,Texas A&M University-Texarkana,Texas Southern University,Texas Southmost College,Texas State Technical College System,Texas State Technical College-Harlingen,Texas State Technical College-Marshall,Texas State Technical College-Waco,Texas State Technical College-West Texas,Texas State University,Texas Tech University,Texas Wesleyan University,Texas Woman's University,Trinity Valley Community College,Tyler Junior College,University of Houston,University of Houston-Clear Lake,University of Houston-Downtown,University of Houston-Victoria,University of Mary Hardin-Baylor,University of North Texas,University of North Texas at Dallas,University of St. Thomas,University of Texas - Rio Grande Valley,University of Texas at Arlington,University of Texas at Austin,University of Texas at Dallas,University of Texas at El Paso,University of Texas at San Antonio,University of Texas at Tyler,University of Texas Health Science Center at Houston,University of Texas Health Science Center at San Antonio,University of Texas of the Permian Basin,University of the Incarnate Word,Vernon College,Victoria College,Wayland Baptist University,Weatherford College,West Texas A&M University,Western Texas College,Wharton County Junior College,Wiley College
News Photography I,COMM,1316,JMC 233,,,,,COMM 1316,,,COMM 1316,,,,,,,,COMM 1316,,,,,,,,COMM 1316,,COMM 1316,,,,,,,,COMM 1316,,,,COMM 1316,,,,,,,,,COMM 1316,,,,,,COMM 1316,,,,,,,,,COMM 1316,,,JRN 302,,,,,COMM 1316,,,,,COMM 1316,,,JOUR 1301,COMM 1316,,,,MCM 250,,COMM 1316,COMM 1316,,COMM 1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMM 1000,,JOUR 2340,COM 316,,,,,,,,,,,,,,,,
News Photography II,COMM,1317,JMC 234,,,,,COMM 1317,,,COMM 1317,,,,,,,,COMM 1317,,,,,,,,,,,,,,,,,,COMM 1317,,,,COMM 1317,,,,,,,,,,,,,,,,,,,,,COMM 1317,,,,,,JRN 304,,,,,COMM 1317,,,,,COMM 1317,,,JOUR 1302,COMM 1317,,,,,,,,,COMM 1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMM 1000,,,,,,,,,,,,,,,,,,,
Photography I,COMM,1318,,COMM 1318,COMM 1318,COMM 1318,MM 1318,,,,,,,,,,,COMA 2314,COMM 1318,,,,,,,,,,,,,,ART 2382,,,,,,,,COMM 1318,,,,,,,,,,,,,,,COMM 1318,,COMM 1318,,,,COMM 1318,COMM 1318,,,COMM 2350,COMM 1318,COMM 1318,,,,,COMM 1318,,COMM 1318,,,COMM 1318,,,,,,,,,,ARTS 2356,,,,,,,,,,,,,,,,,,,PHOT 2310,,,COMM 1318,,,,,,,,,COMM 1000,,,,,,,,,,,,,,,,,,,
Photography II,COMM,1319,,COMM 1319,,,,,,,,,,,,,,,COMM 1319,,,,,,,,,,,,,,,,,,,,,,COMM 1319,,,,,,,,,,,,,,,COMM 1319,,COMM 1319,,,,COMM 1319,COMM 1319,,,,COMM 1319,COMM 1319,,,,,COMM 1319,,COMM 1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMM 1319,,,,,,,,,COMM 1000,,,,,,,,,,,,,,,,MCOM 1319,,,
Introduction to Electronic Media,COMM,1335,,,,COMM 1335,COMM 1335,COMM 1335,,,,COMM 1335,,,,,COMM 1335,,COMM 1335,,,,,,,,,,,,,,,,,COMM 1335,,,,,,,,,,,,,,,,,,,,,,COMM 1335,,,,,,,COMM 1335,,COMM 1335,COMM 1335,,,,,COMM 1335,,COMM 1335,,,COMM 1335,,,,,,,,,,,COMM 1335,,,,,RTV 1335,,,,,,,,,,,,,,,,COMM 1335,COMM 1335,,,,COMM 1335,,MRTS 1310,,COMM 1000,,BCMN 2360,RTF 316,,,,,,,,,,,,,,,,
Video Production I,COMM,1336,JMC 261,COMM 1336,COMM 1336,,,COMM 1336,,,,COMM 1336,,,,,,,COMM 1336,,,,,,,,RTV 309,,COMM 1336,,,,,,,COMM 1336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMM 1336,,COMM 1336,,,,,,COMM 1336,,,,,COMM 1336,,,,,,,,,,,,,,,,,,,COMS 1336,,,,,,,,,,,MCO 2408,,,,,,,,,,,COMM 1000,,BCMN 2358,,,,,,,,,COMM 2358,,,,,MCOM 1336,,,
Video Production II,COMM,1337,,COMM 1337,COMM 1337,,COMM 1337,,,,,COMM 1337,,,,,,,COMM 1337,,,,,,,,RTV 311,,COMM 1337,,,,,,,COMM 1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMM 1337,,COMM 1337,,,,,,,,,,,COMM 1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMM 1000,,,,,,,,,,,,,,,,,,,
Academic Cooperative,COMM,2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMM 2289,,,,,,,,,,,,,,,,,COMM 2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMM 1000,,,,,,,,,,,,,,,,,,,
Media Literacy,COMM,2300,,,,,MM 2300,,,,,COMM 2300,,,,,COMM 2300,,COMM 2300,,,,,,,,,,COMM 2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMM 2300,,,,COMM 2300,COMM 2300,,COMM 2300,,COMM 2300,,,,,,COMM 2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMM 1000,,,,,,,,,,,,,,,,,,,
Principles of Journalism,COMM,2302,,,,,,,,,,,,,,,,,COMM 2302,,,,,,,,,,,,,,,,,COMM 2302,,,,,,,,,,,,,,COMM 2302,,,,,,,,,,,,,,,COMM 2302,,,,,,COMM 2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JOUR 2300,,,,,,,,,,,,COMM 2341,,,,,,,,,,,COMM 2354,,,,,,,,
Audio Production,COMM,2303,,COMM 2303,COMM 2303,,COMM 2303,,,,,COMM 2303,,,,,,,COMM 2303,,,,,,,,RTV 307,,COMM 2303,,,,,,,,,,,,,,,,COMM 2303,,,,,,,,,,,,,,,,,,,,COMM 2303,,COMM 2303,,,,,RTV 264,COMM 2303,,,,,COMM 2303,,,,,,,,MCM 212,COMM 2307,COMM 2307,,,,,,,,,,,,,,,,,,,,,,,COMM 2303,,,,,,,,COMM 2362,,BCMN 2357,,,,,,,,COMM 2303,COMM 2320,,,,,MCOM 2303,COMM 2303,,
Editing & Layout,COMM,2305,,,,COMM 2305,,COMM 2305,,,,COMM 2305,,,,COMM 2305,,,COMM 2305,,,,,,,,COMM 2305,,,,,,,,,COMM 2305,,,,,COMM 2305,,,,,,,,,COMM 2305,,,,,,COMM 2305,,COMM 2305,,,,,COMM 2305,,COMM 2305,,COMM 2305,JRN 305,COMM 2305,,,,COMM 2305,,,,,COMM 2305,COMM 2305,,,COMM 2305,,,,,,,COMM 2305,,COMM 2305,,,,,,,,,,,,,,,,,,,COMM 2305,COMM 2305,,,,,,,,COMM 1000,,,,,,,,,,,,,,,,,,,
Media Writing,COMM,2311,,COMM 2311,COMM 2311,COMM 2311,,COMM 2311,JOU 2303,COMM 2311,COMM 2311,COMM 2311,COMM 2311,,,COMM 2311,,,COMM 2311,,,,,,,,JOUR 312,,COMM 2311,,,,,,,COMM 2311,COMM 2311,COM 1312,,,COMM 2311,,,,COMM 2311,,,,,COMM 2311,,,,,,COMM 2311,,COMM 2311,MCOM 1243,,,,COMM 2311,COMM 2311,COMM 2311,,COMM 2311,JRN 300,COMM 2311,,COMM 2311,JRN 261,COMM 2311,,COMM 2311,,,COMM 2311,COMM 2311,,,COMM 2311,,,,MCM 205,JOUR 2311,COMM 2311,COMM 2311,,COMM 2311,,JOUR 203,JOUR 214,MEDA 2311,JOUR 203,COMM 2311,,,COMM 2311,,,,,,MC 1313,,,,COMM 2311,COMM 2311,COMM 2310,,,,,JOUR 2310,,COMM 2341,,COMM 2311,,,COMM 2300,,MCOM 2311,,,COMM 2311,,,,MCOM 1303,,,COMM 2311,,MCOM 2321
News Reporting,COMM,2315,,,,,,COMM 2315,,,COMM 2315,COMM 2315,,,,COMM 2315,,,COMM 2315,,,,,,,,,,COMM 2315,,,,,,,COMM 2315,,,,,COMM 2315,,,,,,,,,COMM 2315,,,,,,COMM 2315,,COMM 2315,,,,,COMM 2315,,COMM 2315,,COMM 2315,JRN 301,COMM 2315,,,,COMM 2315,,COMM 2315,,,COMM 2315,COMM 2315,,,COMM 2315,,,,,,,COMM 2315,,COMM 2315,,,,,,,,,COMM 2315,,,,,,,,,,COMM 2315,COMM 2315,,,,,,,,COMM 2341,,,,,COMM 2371,,,,,,,,,,,,,,
Practicum in Electronic Media,COMM,2324,,COMM 2324,COMM 2324,,,,,,,COMM 2324,,,,,,,COMM 2324,,,,,,,,RTV 312,,COMM 2324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMM 2324,,COMM 2324,,COMM 2324,,,,COMM 2324,,,,,COMM 2324,,,,COMM 2324,,,,,,,,,,,,,,,,,,COMM 2324,,,,,,,,,,COMM 2324,,,,,,,,,COMM 1000,,,,,,,,,,,,,,,,MCOM 2171,COMM 2324,,
Introduction to Advertising,COMM,2327,,COMM 2327,COMM 2327,,,COMM 2327,,,,COMM 2327,,,,,,,COMM 2327,,,,,,,,JOUR 302,,COMM 2327,,,,COMM 2352,,,,COMM 2327,,,,COMM 2327,,,,,,,,,COMM 2327,,,,,,COMM 2327,,COMM 2327,,,,COMM 2327,,COMM 2327,COMM 2327,,COMM 2327,,COMM 2327,,,,COMM 2327,,COMM 2327,,,COMM 2327,COMM 2327,,,,,,,,,,,,,,,JOUR 260,,,,,,,,,,,,,,,,,COMM 2327,,,,,,,,COMM 1000,,ADVT 2337,,,COMM 2330,,MCOM 2340,,,,,,,,,MCOM 2327,,,
Advertising Art I,COMM,2328,,,,,,,,,,,,,,,,,COMM 2328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMM 1000,,,,,,,,,,,,,,,,,,,
Advertising Art II,COMM,2329,,,,,,,,,,,,,,,,,COMM 2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMM 1000,,,,,,,,,,,,,,,,,,,
Introduction to Public Relations,COMM,2330,,,COMM 2330,COMM 2330,,,,,,,,,,,COMM 2330,,COMM 2330,,,,,,,,COMM 2330,,COMM 2330,,,,,,,COMM 2330,,,,,,,,,,,,,,COMM 2330,,,,,,,,COMM 2330,,,,COMM 2330,,,COMM 2330,,COMM 2330,,,,,,COMM 2330,,COMM 2330,,,COMM 2330,COMM 2330,,,,,,,,,,,,,,,,COMM 2330,,,MCOM 2330,,,,,,,,,,,,,COMM 2330,,,,,,,,COMM 1000,,PREL 2338,,,,,MCOM 2375,,,,,,,,,,,,
Radio/Television Announcing,COMM,2331,JMC 111,COMM 2331,,,,COMM 2331,,,,COMM 2331,,,,,COMM 2331,,COMM 2331,,,,,,,,RTV 308,,,,,,,,,COMM 2331,,,,,,,,,COMM 2331,,,,,,,,,,,,,,,,,,,,,,,,COMM 2331,,,,COMM 2331,,,,,COMM 2331,,,,,,,,,,,,,,,,RTV 215,,,COMS 2331,,,COMM 2331,,,,,,,,,,,,,,,,,,,COMM 1000,COMM 2331,,,,,,,,,,,,,MCOM 2322,,,COMM 2331,,
Radio/Television News,COMM,2332,,COMM 2332,COMM 2332,,,,,,,COMM 2332,,,,,COMM 2332,,COMM 2332,,,,,,,,,,,,,,,,,COMM 2332,,,,,,,,,,,,,,,,,,,,,,COMM 2332,,,,,,,,,COMM 2332,,,,,,COMM 2332,,,,,COMM 2332,,,,,,,,,,COMM 2332,COMM 2332,,,,,,,,,,,,,,,,,,,,,COMM 2332,COMM 2332,,,,,,,,COMM 1000,,,,,,,,,,,,,,,,,,,
"Writing for Radio, Television, & Film",COMM,2339,,,,,,COMM 2339,,,,COMM 2339,,,,,COMM 2339,,COMM 2339,,,,,,,,RTV 314,COMM 2339,COMM 2339,,,,,,,COMM 2339,,,,,,,,,,,,,,,,,,,,,,COMM 2339,,,,,,COMM 2339,COMM 2339,,COMM 2339,COMM 2339,COMM 2331,,,RTV 263,COMM 2339,,COMM 2339,,,COMM 2339,COMM 2339,,,,,,,,,,COMM 2339,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRTS 2010,,COMM 1000,,BCMN 2347,,,,,,,,,,,,,,,COMM 2339,,
Introduction to Cinema,COMM,2366,,COMM 2366,COMM 2366,,,,,,,COMM 2366,,,,,COMM 2366,,,,,,,,,,,,COMM 2366,,COMM 2366,,,,,,,,,,,,,,,COMM 2366,,,,COMM 2366,,,,,,,,,MCOM 2213,,,,,COMM 2366,COMM 2366,,COMM 2366,,,,,,COMM 2366,,,,,COMM 2366,,,,,,,,,,,COMM 2366,,,,,,,,,MCOM 2370,,,,,,,,,THA 2304,,,,,,,COMM 2305,,,MRTS 1320,,COMM 1000,THTF 2366,,RTF 306,,,,,,,,,,,,,,,,
Academic Cooperative,COMM,2389,,,,,,,,,,COMM 2389,,,,,COMM 2389,,COMM 2389,,,,,,,,,,COMM 2389,,,,,,,,,,,,COMM 2389,,,,,,,,,COMM 2389,,,,,,,,COMM 2389,,,,,COMM 2389,,COMM 2389,,,,,,,,,,,,,COMM 2389,COMM 2389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMM 2389,,,,,,,,COMM 1000,,,,,,,,,,,,,,,,,COMM 2389,,
Introduction to Computing,COSC,1301,,COSC 1301,,COSC 1301,CS 1301,COSC 1301,,,,COSC 1301,,COSC 1301,,COSC 1301,COSC 1301,COSC 1301,COSC 1301,,,,,,,,CIS 304,,COSC 1301,,COSC 1301,COSC 1301,CSCI 1303,COSC 1301,,,COSC 1301,,,COSC 1301,,COSC 1301,,COSC 1301,,COSC 1301,,,,COSC 1301,,,,,,COSC 1301,CIS 1315,,CMPS 1013,COSC 1301,,COSC 1301,COSC 1301,COSC 1301,,,COSC 1301,COSC 1301,,,COSC 1301,,COSC 1301,,,,,COSC 1301,COSC 1301,,,COSC 1301,,,COSC 1301,CSC 101,CS 1301,COSC 1302,COSC 1301,COSC 1301,,,,CSCI 126,COSC 1315,,ISYS 1301,,CS 116,COSC 1301,,COSC 1301,,,,CS 1308,,,CSCI 2433,,COSC 1301,,,CIS 1301,COSC 1301,,,CSCE 1010,DEIS 1325,CSCI 1301,CSE 1301,,,CS 1310,,COSC 1301,,,,COMP 1301,COSC 1301,COSC 1301,,COSC 1301,CIDM 1301,COSC 1301,COSC 1301,
Logic Design,COSC,1309,,,,,,,,,,,,,,,,,COSC 1309,,,,,,,,,,,,,,,,,,COSC 1309,,,,,,,,,COSC 1309,,,,COSC 1309,,,,,,COSC 1309,,,,,,,COSC 1309,,,,,,,,,,,,,,,,,,COSC 1309,,,,,,CS 1309,,,,COSC 1309,COSC 2330,,,,,,,,,,,,,,,,,,,,,,,,,,,COMSC 1000,,,,,EE 2369,,,,,,,,,,COSC 1309,,,,
Introduction to Computer Programming,COSC,1315,,,COSC 1315,COSC 1315,CS 1315,COSC 1315,,,,COSC 1315,,,,,COSC 1315,,,,,,,,,,,,,,,,,,,,,,,COSC 1315,,,,,,,,,,,,,,,,,CSC 1325,,,COSC 1315,,COSC 1315,COSC 1315,COSC 1315,,,COSC 1315,,,,,,COSC 1315,,,,,,COSC 1315,,,,CSC54 144,,COSC 1315,,,COSC 1315,,,,COSC 1336,,,,,,,CS 117,,,COSC 1315,,,,CS 1319,CS 1305,,,,,,,,,,,,COMSC 1450,,,,,,,,,,,,,COSC 1315,,,CIDM 1315,COSC 1315,,
C Programming,COSC,1320,,,COSC 1320,COSC 1320,,COSC 1320,,,COSC 1320,,,,,COSC 1320,,,,,,,,,,,,,,,,,,,,,COSC 1320,,,,,,,,,,,COSC 1303,,COSC 1320,,,,,,COSC 1320,,,,,,,,,,,,,,,,,,,,,,,COSC 1320,,,,CSC54 144,CS 1310,,,CS 1320,,,,COSC 1320,,,,,,,,,,,,,,,,CS 1411,CSC 1321,,,,,CSCI 1320,,,,,,COMSC 1000,,,,,,,,,,,,,,,,,,,
Computer Programming,COSC,1330,,,,,,,,,,,,,,,,,COSC 1330,,,,,,,,,,,,,COSC 1330,,,,,COSC 1330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COSC 1330,,,,,,,,,,,,CS 1305,,,,,,,,,,,,COMSC 1000,,,,,,,,,,,,,,,,,,,
Programming Fundamentals I,COSC,1336,,,COSC 1336,COSC 1336,CS 1336,,,,,COSC 1336,,,,COSC 1336,,,,,,,,,,,,,,,COSC 1336,COSC 1336,,,,,COSC 1336,,,,COSC 1336,,,COSC 1336,COSC 1336,,,COSC 1303,,COSC 1336,,,,,,COSC 1336,,COSC 1336,,,,COSC 1336,COSC 1336,COSC 1336,,,COSC 1336,,COSC 1336,,,,COSC 1336,,COSC 1336,,,,,,,COSC 1336,,,COSC 1336,,,,,COSC 1336,COSC 1336,,,CSCI 151,,,,,CS 120,COSC 1336,,COSC 1336,,,,CS 1319,CS 1411,,CSCI 1423,COSC 1336,COSC 1336,,,,,,,,COMSC 1450,CSCI 1370,,,CS 1336,,CS 1083,,,,,,,,CSCI 1311,,,,,
Programming Fundamentals II,COSC,1337,,,COSC 1337,,CS 1337,,,,,COSC 1337,,,,COSC 1337,COSC 1337,,,,,,,,,,,,,,COSC 1337,COSC 1337,,,,,,,,,COSC 1337,,,COSC 1337,COSC 1337,,,COSC 2103,,COSC 1337,,,,,,COSC 1337,,COSC 1337,,,,COSC 1337,COSC 1337,COSC 1337,,,COSC 1337,,COSC 1337,,,,COSC 1337,,COSC 1337,,,,COSC 1337,,,COSC 1337,,,COSC 1337,,,,,COSC 1337,,,,CSCI 152,,,,,CS 140,COSC 1337,,,,,,,CS 1412,,CSCI 2493,COSC 1337,COSC 1337,COSC 1320,,,,,CSCE 1040,CSCE 1040,COMSC 1351,,,,CS 1337,,,,,,,,,,CSCI 1312,,,,,
C Programming,COSC,1420,,COSC 1420,,,,,,COSC 1420,,,,,,,,,,,,,,,,,,,,,,,,,,,COSC 1420,,,,,,,,,,,,,,,,,,,,,,CMPS 1044,COSC 1420,,,,,,,,COSC 1420,COSC 1420,,,,,,,,,,,,COSC 1420,,,,,,,,COSC 1420,,,,CSCE 206,,,CSCE 206,,,,,,,,,,CS 1428,,,,,,,,,,,,,COMSC 1000,,,,,,,,,,,,,,,,,,,
Computer Programming,COSC,1430,,,,,,,,,,,,,,,,,COSC 1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COSC 1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMSC 1000,,,,,CS 1401,,,,,,,,,,,,,,
Programming Fundamentals I,COSC,1436,,COSC 1436,,,,,,COSC 1436,,,,,COSC 1436,,COSC 1436,COSC 1405,COSC 1436,,,,,,,,COSC 1436,,COSC 1436,,,,,COSC 1436,,COSC 1436,,,,,,COSC 1436,,,,COSC 1436,COSC 1436,,,,,,,,,,,,,COSC 1436,COSC 1436,,,,COSC 1436,,,COSC 1436,,,COSC 1436,,,,,,,COSC 1436,COSC 1436,,,,CSC54 004,,,,,,COSC 1436,,,,,,COSC 1435,,,,CS 120,,,,,,,CS 1319,CS 1411,,CSCI 1423/1421,,,COSC 1410,CSCI 1470,CS 1410,,,CSCE 1030,CSCE 1030,COMSC 1450,CSCI 1380,,,,,,COSC 1336,,,,,,COSC 1436,,,,,COSC 1436,
Programming Fundamentals II,COSC,1437,,COSC 1437,,,,,,COSC 1437,,,,,COSC 1437,,COSC 1437,COSC 1408,COSC 1437,,,,,,,,COSC 1437,,COSC 1437,,,COSC 1437,,COSC 1437,,COSC 1437,,,,,,,,,,COSC 1437,COSC 1437,,,,,,,,,,,,,COSC 1437,COSC 1437,COSC 1437,,,COSC 1437,,COSC 1437,COSC 1437,,,,,COSC 1437,,,,,COSC 1437,,,,,CSC54 004,,COSC 1437,,,,COSC 1437,,,,,,COSC 1436,,,,CS 140,COSC 1437,,,,,,CS 1428,CS 1412,,CSCI 2493,,,,CSCI 1471,CS 2410,,,,,COMSC 1351,,,,,,CS 1713,COSC 1337,,,,,,COSC 1437,,,,,COSC 1437,
Data Structures,COSC,2315,,,,,CS 2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COSC 2315,,,,,,,,COSC 2203,,,,,,,,,,,CMPS 1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS 2315,,,,,,,,,,,,CS 248,,,,,,,CS 2308,CS 2413,,,,,,CSCI 2315,,,,,,COMSC 1000,,,,,CS 2302,,,,,,,,,,,,,,
Computer Organization,COSC,2325,,,,COSC 2325,,,,,,COSC 2325,,,,COSC 2325,COSC 2325,,,,,,,,,,,,,,COSC 2325,COSC 2325,,,,COSC 2425,,,,,,,,,,,COSC 2325,COSC 3303,,COSC 2325,,,,,,COSC 2325,,,,,,COSC 2325,,COSC 2325,,,COSC 2325,,,,,,COSC 2325,,COSC 2325,,,,,,,COSC 2325,,,COSC 2325,,,,,,,,,CSCI 241,,,,,CS 243,COSC 2325,,,,,,CS 2318,CS 2350,,CSCI 2443,,COSC 2325,,,,,,CSCE 2610,CSCE 2610,COMSC 1000,CSCI 2333,,,,,,COSC 2315,,,,,,,,,CS 2325,,,
Advanced Structured Languages,COSC,2330,,,,,,,,,,,,,,,,,COSC 2330,,,,,,,,,,,,,COSC 2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COSC 2330,,,,,,,,,,,,,,COSC 2330,,,,,,,,,,,,,,,,,COMSC 1000,,,,,,,,,,,,,,,,,,,
Programming Fundamentals III,COSC,2336,,,COSC 2336,,,,,,,COSC 2336,,,,COSC 2336,COSC 2336,,,,,,,,,,COSC 2336,,COSC 2336,,COSC 2336,COSC 2336,,,,,,,,,,,,,COSC 2336,,,,,COSC 2336,,,,,,COSC 2336,,COSC 2336,,,,,,,,,COSC 2336,,,,,,COSC 2336,,COSC 2336,,,,,,,COSC 2336,,,,,,,,COSC 2336,,,,CSCI 270,,,,,CS 246,COSC 2336,,,,,,CS 2308,CS 2413,,,,COSC 2336,COSC 2320,CSCI 2315,,,,,CSCE 2050,COMSC 2351,CSCI 2380,,,CS 2336,,,COSC 2336,,,,,,,,,,,COSC 2336,
Computer Organization,COSC,2425,,COSC 2425,COSC 2425,,,COSC 2425,,COSC 2425,,,,,COSC 2425,,,,COSC 2425,,,,,,,,COSC 2425,,COSC 2425,,,,,COSC 2425,,,,,,,,,,,,COSC 2425,,,,,,,,,,,,,CMPS 2084,COSC 2425,COSC 2425,,,,COSC 2425,,,COSC 2425,,,,,,,,,,,COSC 2425,,,,,,,,,,COSC 2425,,,,,,,,,,CS 243,,,,,,,CS 2318,CS 2350,,CSCI 2443,,,COSC 2410,,CS 2401,,,,,COMSC 1000,,,,,,,,,,,,,,,,,,COSC 2425,
Programming Fundamentals III,COSC,2436,,COSC 2436,,,,,,COSC 2436,,,,,COSC 2436,,COSC 2436,,COSC 2436,,,,,,,,,,,,,,,COSC 2436,,COSC 2436,,,,,,,,,,COSC 2436,COSC 2436,,,,,,,,,,,,,COSC 2436,COSC 2436,COSC 2436,,COSC 2436,COSC 2436,,COSC 2436,COSC 2436,,,,,,,,,,,COSC 2436,,,,,,COSC 2436,,,,COSC 2436,,,,,,COSC 2437,,,,CS 246,,,COSC 2336,,,,CS 2308,CS 2413,,,,,,,,,,,,COMSC 2351,,,,,,,,,,,,,,,,,,,
Introduction to Criminal Justice,CRIJ,1301,,CRIJ 1301,CRIJ 1301,CRIJ 1301,CRIJ 1301,CRIJ 1301,,CRIJ 1301,CRIJ 1301,CRIJ 1301,CRIJ 1301,CRIJ 1301,LEC 301,CRIJ 1301,CRIJ 1301,CRJS 1302,CRIJ 1301,,,,,,,,C J 301,CJUS 1301,CRIJ 1301,,CRIJ 1301,CRIJ 1301,CRIJ 1301,CRIJ 1301,GOVT 2350,CRIJ 1301,CRIJ 1301,CRJ 1310,,CRIJ 1301,CRIJ 1301,CRIJ 1301,,CRIJ 1301,CRIJ 1301,CRIJ 1301,CRIJ 1301,CRIJ 1303,,CRIJ 1301,,,,,,CRIJ 1301,,CRIJ 1301,CRJU 1113,CRIJ 1301,CRIJ 1301,CRIJ 1301,CRIJ 1301,CRIJ 1301,CRIJ 1301,,CRIJ 1301,CRIJ 1301,CRIJ 1301,,,CRIJ 1301,CRIJ 1301,,CRIJ 1301,,,CRIJ 1301,CRIJ 1301,,,CRIJ 1301,,,CRIJ 1301,CJS 101,CJ 1301,CRIJ 1301,CRIJ 1301,CRIJ 1301,CRIJ 1301,CRIJ 1301,,CJ 101,CRIJ 1301,,,CJ 1301,AJ 105,CRIJ 1301,,,,,,CJ 1310,,CRJ 1301,SOCI 2213,CRIJ 1301,CRIJ 1301,,CRIM 1301,CJ 1301,CRIJ 1301,,CJUS 2100,CJUS 2100,POSC 2333,CRIJ 1301,CRCJ 2334,,CRIM 1301,CRIJ 1301,CRJ 1113,CRIJ 1301,,,CRIM 2336,,CRIJ 1301,CRIJ 1301,JUAD 2300,CRIJ 1301,CRIJ 1301,CRIJ 1301,CRIJ 1301,CRIJ 1330
